Original,Total,Correct_Count,Accuracy_Percentage
1,23,23,100.0
2,37,37,100.0
3,29,29,100.0
4,32,32,100.0
5,36,36,100.0
6,22,22,100.0
7,31,31,100.0
8,31,31,100.0
9,22,22,100.0
A,28,28,100.0
AFRAID,17,12,70.58823529411765
ANGRY,13,9,69.23076923076923
APPRECIATE,21,18,85.71428571428571
B,26,26,100.0
BAD,18,18,100.0
BED,14,10,71.42857142857143
BORED,17,16,94.11764705882352
C,24,20,83.33333333333334
CLASS,23,19,82.6086956521739
COLD,19,15,78.94736842105263
COLLEGE_SCHOOL,18,12,66.66666666666666
COMB,19,15,78.94736842105263
COME,21,16,76.19047619047619
CONGRATULATIONS,20,17,85.0
CRYING,20,10,50.0
D,21,21,100.0
DARE,17,13,76.47058823529412
DIFFERENCE,9,9,100.0
DISAPPOINTED,20,18,90.0
DO,15,8,53.333333333333336
E,27,27,100.0
F,29,29,100.0
FAVOUR,16,13,81.25
FEVER,22,19,86.36363636363636
FINE,19,14,73.68421052631578
FOOD,17,8,47.05882352941176
FREE,17,15,88.23529411764706
FRIEND,15,11,73.33333333333333
FROM,16,13,81.25
G,32,32,100.0
GO,20,19,95.0
GOOD,13,9,69.23076923076923
GRATEFUL,16,13,81.25
H,32,32,100.0
HAD,18,14,77.77777777777779
HAPPY,21,13,61.904761904761905
HEAR,21,20,95.23809523809523
HEART,15,14,93.33333333333333
HELLO_HI,16,16,100.0
HELP,20,10,50.0
HIDING,12,12,100.0
HOW,23,10,43.47826086956522
HUNGRY,20,19,95.0
HURT,17,12,70.58823529411765
I,30,30,100.0
I_ME_MINE_MY,30,23,76.66666666666667
J,39,39,100.0
K,38,38,100.0
KIND,17,13,76.47058823529412
L,25,25,100.0
LEAVE,18,17,94.44444444444444
LIKE_LOVE,14,10,71.42857142857143
M,33,33,100.0
MEAN IT,15,15,100.0
MEDICINE,12,11,91.66666666666666
MEET,16,10,62.5
N,24,24,100.0
NAME,27,21,77.77777777777779
NICE,20,10,50.0
O,24,22,91.66666666666666
OLD_AGE,15,8,53.333333333333336
OUTSIDE,19,19,100.0
P,19,15,78.94736842105263
PHONE,19,13,68.42105263157895
PLACE,19,18,94.73684210526315
POUR,13,10,76.92307692307693
PREPARE,19,17,89.47368421052632
PROMISE,21,13,61.904761904761905
Q,26,26,100.0
R,30,30,100.0
REALLY,13,8,61.53846153846154
REPEAT,14,13,92.85714285714286
ROOM,25,20,80.0
S,33,32,96.96969696969697
SHIRT,16,14,87.5
SITTING,21,18,85.71428571428571
SLEEP,23,21,91.30434782608695
SLOWER,22,19,86.36363636363636
SO MUCH,17,14,82.35294117647058
SOFTLY,22,19,86.36363636363636
SOME ONE,12,12,100.0
SOMETHING,18,14,77.77777777777779
SORRY,21,20,95.23809523809523
SPEAK,18,12,66.66666666666666
STOP,10,9,90.0
SURE,26,17,65.38461538461539
T,32,32,100.0
TAKE CARE,15,12,80.0
TAKE TIME,20,12,60.0
TALK,17,15,88.23529411764706
TELL,23,17,73.91304347826086
THANK,21,17,80.95238095238095
THAT,26,17,65.38461538461539
THINGS,15,14,93.33333333333333
THINK,13,11,84.61538461538461
THIRSTY,28,24,85.71428571428571
TIRED,19,15,78.94736842105263
TODAY,17,13,76.47058823529412
TRUST,26,21,80.76923076923077
TRUTH,15,13,86.66666666666667
TURN ON,17,16,94.11764705882352
U,36,35,97.22222222222221
UNDERSTAND,21,18,85.71428571428571
V,24,24,100.0
W,24,24,100.0
WANT,16,11,68.75
WATER,16,12,75.0
WEAR,20,18,90.0
WELCOME,23,3,13.043478260869565
WHAT,17,15,88.23529411764706
X,29,29,100.0
Y,25,24,96.0
YOU,15,9,60.0
Z,41,41,100.0
